epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,606.048,2.03235,3.67482,0.02038,0.5197,0.1376,0.12927,0.06097,2.21988,3.00774,0.02305,0.000399642,0.000399642,0.0804175
2,1172.53,2.02109,2.99584,0.02009,0.3233,0.22855,0.19616,0.07257,2.18999,2.94358,0.0218,0.000799447,0.000799447,0.0608174
3,1723.55,1.96805,2.8375,0.01962,0.31844,0.32606,0.24983,0.10866,2.03055,2.41976,0.02003,0.00119847,0.00119847,0.0412164
4,2256.88,1.91212,2.67974,0.0185,0.35795,0.33119,0.3083,0.15205,1.95731,2.14903,0.018,0.00159613,0.00159613,0.021614
5,2787.92,1.89067,2.63136,0.01818,0.52486,0.32542,0.33648,0.1784,1.89424,2.09311,0.01728,0.00199184,0.00199184,0.00200974
6,3317.95,1.85952,2.55327,0.01778,0.44676,0.40887,0.3897,0.21949,1.72412,1.88048,0.01471,0.00198781,0.00198781,0.00198781
7,3848.61,1.8257,2.4636,0.01695,0.53008,0.43291,0.39128,0.20473,1.78342,1.88663,0.01599,0.00198246,0.00198246,0.00198246
8,4380.23,1.80998,2.43442,0.01677,0.45617,0.44861,0.42478,0.2281,1.69603,1.82934,0.01509,0.00197616,0.00197616,0.00197616
9,4911.79,1.79588,2.37716,0.01656,0.65578,0.40988,0.44396,0.26312,1.61913,1.7702,0.01364,0.0019689,0.0019689,0.0019689
10,5443.86,1.77025,2.30696,0.01629,0.46003,0.4872,0.43593,0.2485,1.61164,1.72922,0.01303,0.00196069,0.00196069,0.00196069
11,5975.88,1.77086,2.27856,0.01612,0.44238,0.50139,0.45734,0.26736,1.58635,1.71777,0.01301,0.00195155,0.00195155,0.00195155
12,6510.29,1.74389,2.23732,0.01591,0.56321,0.42426,0.45505,0.28209,1.55555,1.70028,0.01235,0.00194147,0.00194147,0.00194147
13,7053.53,1.73399,2.20411,0.01583,0.51865,0.47933,0.47196,0.28325,1.57239,1.66256,0.01297,0.00193048,0.00193048,0.00193048
14,7593.59,1.71954,2.17283,0.01556,0.58845,0.48144,0.48361,0.30018,1.51032,1.65074,0.01185,0.00191858,0.00191858,0.00191858
15,8127.19,1.72853,2.15623,0.0155,0.74085,0.42987,0.48856,0.31938,1.47792,1.62932,0.01137,0.00190578,0.00190578,0.00190578
16,8659.33,1.70903,2.14485,0.01526,0.49167,0.53073,0.47999,0.31226,1.47927,1.61934,0.01159,0.0018921,0.0018921,0.0018921
17,9192.42,1.68853,2.10361,0.01521,0.52017,0.53223,0.48681,0.3139,1.48123,1.60499,0.01157,0.00187754,0.00187754,0.00187754
18,9727.93,1.69113,2.09219,0.01494,0.52445,0.50881,0.50818,0.32675,1.47004,1.59057,0.0115,0.00186213,0.00186213,0.00186213
19,10268.1,1.67529,2.04311,0.01496,0.50017,0.51131,0.50146,0.32514,1.44427,1.58671,0.01119,0.00184588,0.00184588,0.00184588
20,10805.9,1.68165,2.04143,0.01481,0.53069,0.52726,0.51617,0.33938,1.44129,1.57885,0.01118,0.00182881,0.00182881,0.00182881
