epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,589.723,1.46909,1.62817,0.01225,0.58875,0.54609,0.55244,0.37723,1.36354,1.48152,0.01051,0.000332298,0.000332298,0.000332298
76,1142.88,1.47561,1.63149,0.01197,0.58044,0.54719,0.55364,0.37786,1.36351,1.4813,0.01051,0.000309964,0.000309964,0.000309964
77,1695.85,1.49468,1.63387,0.0121,0.54061,0.56603,0.54951,0.37589,1.36431,1.48071,0.01051,0.000288321,0.000288321,0.000288321
78,2242.18,1.4832,1.62453,0.01191,0.54944,0.55852,0.54569,0.372,1.36568,1.47831,0.01054,0.00026739,0.00026739,0.00026739
79,2787.96,1.47914,1.62085,0.01181,0.5582,0.55724,0.5504,0.37548,1.36493,1.47684,0.01055,0.000247192,0.000247192,0.000247192
80,3329.45,1.47382,1.60818,0.01203,0.55529,0.55759,0.55248,0.37684,1.36464,1.47521,0.01054,0.000227747,0.000227747,0.000227747
81,3874.22,1.47691,1.61211,0.01191,0.55413,0.55931,0.55393,0.3777,1.36423,1.47443,0.01054,0.000209073,0.000209073,0.000209073
82,4423.57,1.4746,1.59842,0.0119,0.54308,0.56804,0.55354,0.37766,1.36529,1.47202,0.01055,0.00019119,0.00019119,0.00019119
83,4969.92,1.47422,1.61099,0.01179,0.5386,0.5718,0.55071,0.37657,1.36477,1.47212,0.01055,0.000174115,0.000174115,0.000174115
84,5516.28,1.47009,1.59353,0.01175,0.54035,0.5694,0.55095,0.37605,1.36652,1.46999,0.01057,0.000157865,0.000157865,0.000157865
85,6060.98,1.46291,1.58988,0.01189,0.54113,0.56331,0.55122,0.37652,1.36618,1.47003,0.01057,0.000142456,0.000142456,0.000142456
86,6570.62,1.3943,1.35334,0.0114,0.53583,0.59175,0.55784,0.37774,1.36582,1.47175,0.01056,0.000127904,0.000127904,0.000127904
87,7076.6,1.38455,1.32757,0.01124,0.53492,0.5909,0.55878,0.37906,1.36546,1.47326,0.01055,0.000114221,0.000114221,0.000114221
88,7583.13,1.38612,1.322,0.0111,0.53623,0.59407,0.55991,0.3805,1.36593,1.47304,0.01056,0.000101423,0.000101423,0.000101423
89,8090.64,1.36151,1.29977,0.01089,0.53346,0.5935,0.5592,0.38,1.36604,1.47343,0.01056,8.95213e-05,8.95213e-05,8.95213e-05
90,8597.27,1.36297,1.29526,0.01097,0.57193,0.57144,0.56588,0.3858,1.36592,1.47563,0.01056,7.8528e-05,7.8528e-05,7.8528e-05
91,9102.9,1.36695,1.31285,0.0109,0.5739,0.56926,0.56667,0.38695,1.36555,1.47695,0.01057,6.8454e-05,6.8454e-05,6.8454e-05
92,9609.61,1.35977,1.28167,0.01082,0.55931,0.57282,0.56679,0.38657,1.36568,1.47732,0.01058,5.93093e-05,5.93093e-05,5.93093e-05
93,10116.4,1.35704,1.2831,0.01081,0.5523,0.57015,0.56498,0.38606,1.36525,1.47924,0.01058,5.11027e-05,5.11027e-05,5.11027e-05
94,10623.4,1.36474,1.28907,0.01091,0.55596,0.5706,0.56456,0.38718,1.3652,1.48024,0.01059,4.38424e-05,4.38424e-05,4.38424e-05
95,11130.8,1.35548,1.29646,0.01077,0.54739,0.57251,0.56481,0.38666,1.36448,1.48291,0.01058,3.75356e-05,3.75356e-05,3.75356e-05
96,11637.7,1.36716,1.29025,0.01099,0.55262,0.56535,0.56426,0.3869,1.36539,1.48315,0.01059,3.21885e-05,3.21885e-05,3.21885e-05
97,12142.8,1.35849,1.28361,0.01077,0.55643,0.56314,0.56507,0.38809,1.3645,1.48547,0.01059,2.78064e-05,2.78064e-05,2.78064e-05
98,12647.6,1.34615,1.27007,0.01093,0.55609,0.56588,0.56499,0.38814,1.36417,1.48633,0.01059,2.43937e-05,2.43937e-05,2.43937e-05
99,13154.8,1.35437,1.28729,0.01071,0.54974,0.56727,0.56515,0.38824,1.36521,1.4845,0.0106,2.19535e-05,2.19535e-05,2.19535e-05
100,13661.4,1.36285,1.29431,0.01081,0.53737,0.57145,0.56473,0.38831,1.36469,1.48486,0.0106,2.04885e-05,2.04885e-05,2.04885e-05
