epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1161.34,1.8164,8.21589,0.01393,0.38164,0.23829,0.20444,0.11325,1.97406,2.57394,0.00996,0.00999672,0.00333224,0.00999672,0.00333224,0.00999672,0.00333224,0.00999672,0.00333224
2,2189.67,1.68609,2.33852,0.01259,0.42442,0.31045,0.27532,0.16596,1.85867,2.18344,0.0079,0.0199933,0.00666444,0.0199933,0.00666444,0.0199933,0.00666444,0.0199933,0.00666444
3,3184.23,1.73172,2.19329,0.01294,0.53046,0.261,0.24772,0.14543,1.96365,2.46917,0.00911,0.0299764,0.00999212,0.0299764,0.00999212,0.0299764,0.00999212,0.0299764,0.00999212
4,4153.64,1.73379,2.11607,0.01253,0.56251,0.361,0.3551,0.22574,1.78054,2.0382,0.00661,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
5,5113.47,1.67226,1.96214,0.01154,0.50942,0.40645,0.37492,0.24402,1.77471,1.90769,0.00657,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
6,6096.3,1.63373,1.89387,0.01096,0.61306,0.38359,0.40924,0.26824,1.69535,1.88882,0.00616,0.029873,0.00995765,0.029873,0.00995765,0.029873,0.00995765,0.029873,0.00995765
7,7080.37,1.58999,1.82424,0.0105,0.63627,0.39904,0.43941,0.29184,1.66408,1.8323,0.0055,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
8,8053.12,1.55856,1.78953,0.01005,0.547,0.43624,0.43892,0.29811,1.64265,1.82056,0.00556,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711,0.0297513,0.00991711
9,9023.02,1.53841,1.75023,0.00993,0.57333,0.45396,0.44884,0.29901,1.63174,1.77905,0.0056,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
10,9998.17,1.52398,1.72042,0.00971,0.56082,0.48238,0.46879,0.31504,1.60457,1.76273,0.00543,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
11,10981.8,1.51688,1.71708,0.00951,0.60568,0.48006,0.46417,0.31841,1.57967,1.73871,0.00512,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
12,11959.8,1.50385,1.69749,0.00945,0.61141,0.47955,0.47367,0.32806,1.57641,1.72669,0.0051,0.0293885,0.00979616,0.0293885,0.00979616,0.0293885,0.00979616,0.0293885,0.00979616
13,12938.8,1.49039,1.68445,0.0093,0.63917,0.48422,0.46992,0.32915,1.56241,1.72048,0.0051,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
14,13933.3,1.48486,1.66831,0.00921,0.65944,0.48096,0.47168,0.32942,1.55066,1.7091,0.00492,0.0291482,0.00971608,0.0291482,0.00971608,0.0291482,0.00971608,0.0291482,0.00971608
15,14914,1.47889,1.66446,0.00906,0.65582,0.49322,0.48425,0.34061,1.53707,1.7013,0.0049,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122,0.0290137,0.00967122
16,15892,1.47301,1.65406,0.00898,0.65663,0.49803,0.49016,0.34524,1.52758,1.69919,0.00486,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
17,16873.3,1.46782,1.63227,0.00892,0.65017,0.4869,0.48485,0.34314,1.52541,1.69844,0.00487,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
18,17848.9,1.46257,1.62799,0.00895,0.64987,0.49572,0.49533,0.34687,1.52354,1.69661,0.00486,0.0285534,0.0095178,0.0285534,0.0095178,0.0285534,0.0095178,0.0285534,0.0095178
19,18839.5,1.46299,1.62756,0.00887,0.67276,0.49379,0.4979,0.34795,1.52452,1.6954,0.00491,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
20,19823.9,1.45751,1.61666,0.00884,0.6642,0.49272,0.4958,0.34947,1.51933,1.69104,0.00488,0.0282004,0.00940014,0.0282004,0.00940014,0.0282004,0.00940014,0.0282004,0.00940014
21,20803.2,1.45163,1.60708,0.00863,0.66718,0.49486,0.495,0.34818,1.51564,1.68968,0.00484,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
22,21797.6,1.44091,1.59158,0.00867,0.65512,0.4973,0.49837,0.34927,1.51493,1.68841,0.00485,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
23,22766.8,1.43744,1.59308,0.00863,0.6747,0.49529,0.49694,0.34848,1.51585,1.68633,0.00484,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
24,23738.3,1.43336,1.5866,0.00851,0.67086,0.49267,0.49801,0.34819,1.5144,1.68885,0.00484,0.0273883,0.00912942,0.0273883,0.00912942,0.0273883,0.00912942,0.0273883,0.00912942
25,24714.2,1.4318,1.57865,0.00845,0.6509,0.50151,0.49149,0.34543,1.51728,1.68707,0.00488,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
26,25681.7,1.43426,1.58175,0.00851,0.66991,0.49462,0.49616,0.34951,1.51806,1.68725,0.00488,0.0269313,0.0089771,0.0269313,0.0089771,0.0269313,0.0089771,0.0269313,0.0089771
27,26666.3,1.42768,1.56439,0.00844,0.65217,0.50214,0.49232,0.34733,1.51723,1.6857,0.00485,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
28,27643.2,1.42523,1.55851,0.00829,0.67247,0.49457,0.49671,0.35141,1.5167,1.68433,0.00485,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
29,28623.5,1.42251,1.55794,0.00827,0.67338,0.49457,0.49697,0.35226,1.51645,1.68353,0.00484,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
30,29601.8,1.41776,1.556,0.00832,0.66016,0.502,0.4998,0.35341,1.51591,1.68185,0.00484,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406,0.0259218,0.0086406
31,30575.2,1.41774,1.54247,0.00829,0.65128,0.50171,0.50219,0.35544,1.51336,1.68228,0.00483,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
